id	stable_key	fingerprint_sha256	name_kanji	name_reading
10001	b86ddd3aafe82cc68bcbce4b63f1acd267d1653016604120105ae95e686a1c21	86ce9358a42ef9c418c41056ef0e1acfe0f566095efa768d81fedc639d91f93d	丁儀	テイギ
10002	52313ac2d6df938787a923042004a5e74bbb5da13e99f8881078f6a062731266	f5436b0baf7129f36ba863ac91963968edccafba02cc26cacd9dacd7393db7de	丁原	テイゲン
10003	1b274ff0442e9bb6d58351e7575692c03db8b6bd610cd0e79390609e1212dcb7	66ad5063740dc31a8f0fa9a61b359bf6760941856ed79f7095753da6d1968628	丁固	テイコ
10004	32e6c6506f9b472cea205d9e1bcba13dfbeab3d96fa980743fb615c4d36513ab	bcf90b5ea4074a4b82f0d971205087ffcd01072ede822a51f1551ac3aeb1c5bf	丁奉	テイホウ
10005	5642e938b5c3294bcee9a5007c472d3fdb806a95cdfa952b3faf7ab7dfa11bc3	eed3fedcb4c0298b7ad96682063cc8c766f7b6083b30c0228480ab77b19eb64a	丁封	テイホウ
10006	5bb381d4369c2e34b8253a92a477b6ad1034ddf4a86f23806874cf1798b6edfc	0e1cee1f17cd86a295c262008789e542fbcc8bf03203f454354a1d93b73d134e	丁斐	テイヒ
10007	6c51ce6221b91a9ad71bf26db4652aeea267f5cfc2c97a75e23723287fb11b5e	a5c5feb5a370ae4eb9d087c0db8a2cc5ea031095712d433cdd8f172cb4fd1c47	万彧	バンイク
10008	ac7a6f2e81eea0fd3bfe2f8de6dad573465eb71101fb8ecf82aa2a7a685c7d9a	7b36f06d2431e3834b92e71607d68a7f12a07af63634640cc6e7d72dcb2b445a	上官子脩	ジョウカンシシュウ
10009	a914a882d9c133e909fac1b928a6369a923a797e244ccb6a91fbe85bdae3da47	63bf0fee80f92d91004ca9ae0c5c3444104b6d8092cf207a9ce8862794141116	丘力居	キュウリキキョ
10010	03c14824a44c1cef1b657ff888bdefef6fd7e5d948f1be913910d48794a2529e	1ee619fdfcbf87b47dcc1ccea41ae890e7653d9ae0b98fea9d4eb715cf327965	丘建	キュウケン
